iter	Logloss
0	0.4940879989
1	0.4473952441
2	0.428808833
3	0.4173345022
4	0.4068918667
5	0.4007118275
6	0.396891053
7	0.3912744744
8	0.3897893749
9	0.3884767949
10	0.384585563
11	0.3836318949
12	0.3818126781
13	0.380626522
14	0.3796600122
15	0.378479352
16	0.3784704773
17	0.3752504258
18	0.3721697962
19	0.3697672745
20	0.367918454
21	0.3665712592
22	0.3630242583
23	0.3604920685
24	0.3604880848
25	0.3578476598
26	0.3552082142
27	0.3541387282
28	0.3514869591
29	0.347767543
30	0.3475698501
31	0.3468193531
32	0.3461205812
33	0.3446332472
34	0.3414611683
35	0.3393263743
36	0.3365189354
37	0.3332141936
38	0.3330054285
39	0.3325775294
40	0.3296550261
41	0.3288648154
42	0.3261667704
43	0.3232388239
44	0.3223740328
45	0.3218165788
46	0.3198523949
47	0.3182094328
48	0.317156922
49	0.3166263509
50	0.3122209909
51	0.3105905408
52	0.3094237825
53	0.3078505183
54	0.3058306501
55	0.3037312225
56	0.3012757683
57	0.2995373597
58	0.298509838
59	0.2969759987
60	0.2956592704
61	0.2946331375
62	0.2934261325
63	0.2913612302
64	0.2899620217
65	0.2891311791
66	0.2868335576
67	0.2833797848
68	0.2812512178
69	0.2786128617
70	0.2769063684
71	0.2752881875
72	0.2745995666
73	0.2737829313
74	0.2729132528
75	0.2707067408
76	0.2693330572
77	0.2654448963
78	0.2642742268
79	0.2633376863
80	0.2633313869
81	0.2613059644
82	0.2580442317
83	0.2572723366
84	0.2558135617
85	0.2545898057
86	0.2528537938
87	0.2512965968
88	0.2493023251
89	0.2477447416
90	0.2457657465
91	0.2438649185
92	0.2427405799
93	0.240814926
94	0.2407840741
95	0.239540686
96	0.2386684732
97	0.2369600674
98	0.2356428062
99	0.2347155507
