iter	Logloss
0	0.4986861747
1	0.4551398276
2	0.4318922911
3	0.4139627327
4	0.4013966149
5	0.3979727847
6	0.3942312273
7	0.3897292739
8	0.387858225
9	0.3855085196
10	0.3849552062
11	0.381603853
12	0.3792917158
13	0.3767560815
14	0.3758982757
15	0.3743358421
16	0.3737810749
17	0.3734922977
18	0.370568233
19	0.3693039203
20	0.3691511519
21	0.3658985166
22	0.3609458304
23	0.3575956879
24	0.3552612977
25	0.3509395383
26	0.3490280395
27	0.3445637708
28	0.3438558606
29	0.3410510634
30	0.3406980385
31	0.3377177153
32	0.3377115445
33	0.3344702081
34	0.3335729225
35	0.3307588733
36	0.3299210367
37	0.3268569641
38	0.3247123155
39	0.3221988174
40	0.3207792072
41	0.3196217831
42	0.3193738112
43	0.3160154699
44	0.3135007204
45	0.3118664992
46	0.3073734919
47	0.3068543171
48	0.305349768
49	0.3040334542
50	0.3039270839
51	0.3011901332
52	0.2980776429
53	0.2954820555
54	0.2953560824
55	0.294123653
56	0.2928550878
57	0.2904342773
58	0.2902812314
59	0.2891072188
60	0.2878373273
61	0.2877787998
62	0.2849053212
63	0.2839075805
64	0.2828430565
65	0.2807358678
66	0.2795286429
67	0.2775936121
68	0.2763326071
69	0.273705572
70	0.2718639484
71	0.2691230981
72	0.2665016417
73	0.264064839
74	0.2628704801
75	0.2607019323
76	0.2593046553
77	0.2588543397
78	0.2572910066
79	0.254357083
80	0.2525036995
81	0.2505832814
82	0.2492728003
83	0.2477168134
84	0.2457267438
85	0.2441261941
86	0.2428224384
87	0.2416686429
88	0.239063809
89	0.2379215732
90	0.2372757365
91	0.2357189866
92	0.2345279152
93	0.2342494381
94	0.2336306832
95	0.2324765666
96	0.2306597325
97	0.2297832144
98	0.2278256198
99	0.2274935228
