iter	Logloss
0	0.4939730892
1	0.4441424852
2	0.4250532504
3	0.4107736835
4	0.407878996
5	0.3971361161
6	0.3939796263
7	0.3908622117
8	0.3847026639
9	0.3844617406
10	0.3836975432
11	0.3798365959
12	0.3795756169
13	0.3780604255
14	0.376718829
15	0.3759398777
16	0.3738506507
17	0.3705205396
18	0.3682349562
19	0.3680331988
20	0.3677316275
21	0.3654894356
22	0.3608785095
23	0.3597938329
24	0.3584834373
25	0.3549112633
26	0.354685813
27	0.3507484004
28	0.3477682305
29	0.346976781
30	0.3436066856
31	0.3408298001
32	0.3372582061
33	0.3352553501
34	0.3338394443
35	0.3300897065
36	0.3270508599
37	0.3240342028
38	0.3220594656
39	0.3202251842
40	0.3168151971
41	0.3135492546
42	0.3118652836
43	0.3117871103
44	0.309595864
45	0.3067864407
46	0.3065542352
47	0.3047666976
48	0.302010858
49	0.3008852988
50	0.2996548852
51	0.2981489881
52	0.2956433614
53	0.2942761787
54	0.2912256946
55	0.287585276
56	0.2853653369
57	0.2847133764
58	0.2842966766
59	0.2838353991
60	0.2826128488
61	0.2801861402
62	0.2792350275
63	0.2788173823
64	0.2766579043
65	0.2758588873
66	0.2753709133
67	0.2752618547
68	0.2748152397
69	0.2731189299
70	0.2726044682
71	0.2717951531
72	0.2710146507
73	0.2701771801
74	0.2697524829
75	0.2680574241
76	0.2670837997
77	0.2666446751
78	0.2656174419
79	0.2637741708
80	0.2624171548
81	0.2609981973
82	0.2598401029
83	0.2569623634
84	0.2543704093
85	0.2525217836
86	0.2515111937
87	0.2498510144
88	0.2489947431
89	0.2474974578
90	0.2460455578
91	0.24260831
92	0.2416780908
93	0.2399109904
94	0.2394603379
95	0.239450961
96	0.2384210321
97	0.2370624522
98	0.2349544475
99	0.2346505194
