iter	Logloss
0	0.6452351824
1	0.6083068782
2	0.5781410301
3	0.5510469421
4	0.5323915397
5	0.5101207966
6	0.4934307175
7	0.4790155496
8	0.4695562059
9	0.4620437359
10	0.4573989658
11	0.4499887674
12	0.4447435647
13	0.4392248469
14	0.4347170479
15	0.4308473399
16	0.4270964227
17	0.4251148749
18	0.4230655686
19	0.4200510807
20	0.4175034981
21	0.4154219126
22	0.4132853968
23	0.4108920479
24	0.4100569647
25	0.4082059955
26	0.407903271
27	0.4059759071
28	0.4048940942
29	0.4035301109
30	0.4025058428
31	0.401753806
32	0.4012610894
33	0.4005936641
34	0.399501658
35	0.3983819076
36	0.3973512871
37	0.3961542984
38	0.3953062391
39	0.3947497576
40	0.3937916905
41	0.393274103
42	0.3927039537
43	0.392545363
44	0.3919944934
45	0.3908413901
46	0.3902777109
47	0.390274112
48	0.389888263
49	0.3893732091
50	0.3892072915
51	0.3892050615
52	0.3883631485
53	0.3879453127
54	0.3875728872
55	0.3871743921
56	0.3871445776
57	0.3869373645
58	0.3864895108
59	0.3863375605
60	0.3857344828
61	0.3853715498
62	0.3853704296
63	0.3843922554
64	0.383832221
65	0.3830390547
66	0.3827122083
67	0.3824037305
68	0.3822928527
69	0.3817203729
70	0.3813970678
71	0.3812605748
72	0.3806798003
73	0.3804207965
74	0.3798570192
75	0.379790474
76	0.3797904102
77	0.3789148773
78	0.3787054646
79	0.3785897314
80	0.3775155201
81	0.3775143816
82	0.3770510392
83	0.3765014266
84	0.3761967407
85	0.3759907211
86	0.3755524121
87	0.3754615537
88	0.3752181182
89	0.3747065608
90	0.3746137446
91	0.3744788563
92	0.3739155387
93	0.3738488132
94	0.3732549106
95	0.3731585842
96	0.3729403794
97	0.3725310955
98	0.3723702352
99	0.3716666558
100	0.3714904683
101	0.3709748193
102	0.3708185323
103	0.3699147406
104	0.3694364379
105	0.3687805138
106	0.3685690893
107	0.3679369167
108	0.3674101843
109	0.3669024942
110	0.3660938848
111	0.3659386191
112	0.3654141401
113	0.365359522
114	0.3649120021
115	0.3649118437
116	0.3647400085
117	0.3645994951
118	0.3641250877
119	0.3637672175
120	0.3633482062
121	0.3627539661
122	0.3622396372
123	0.3618384923
124	0.3614277883
125	0.3602586074
126	0.3595029153
127	0.358787073
128	0.3583691027
129	0.3580636192
130	0.3576949106
131	0.35741488
132	0.3569653783
133	0.3565711552
134	0.3563975709
135	0.3560429249
136	0.3555430332
137	0.3553283731
138	0.3547086153
139	0.3544758084
140	0.3532858195
141	0.3529487138
142	0.3521251562
143	0.3518751802
144	0.3513228127
145	0.350980414
146	0.3505382332
147	0.3502512759
148	0.3498459059
149	0.3489796867
150	0.3486974753
151	0.3484513562
152	0.3479685663
153	0.3476645928
154	0.3474509633
155	0.3472527548
156	0.3463426262
157	0.3459090808
158	0.3453789975
159	0.3448853439
160	0.3446413186
161	0.3443406796
162	0.343850613
163	0.3432452953
164	0.3428124385
165	0.3421239684
166	0.3419128151
167	0.3415256698
168	0.3413886215
169	0.3409863314
170	0.3406522866
171	0.3402956554
172	0.339462342
173	0.3393767699
174	0.3392353071
175	0.3390865091
176	0.3387130189
177	0.3386172645
178	0.3384506914
179	0.3383158215
180	0.3378569041
181	0.3376250043
182	0.3373448163
183	0.3372317131
184	0.3366046871
185	0.3362250981
186	0.3360163769
187	0.3359590859
188	0.3356748818
189	0.3355705784
190	0.335376681
191	0.335313036
192	0.3348296508
193	0.3344252676
194	0.3340019395
195	0.3338075662
196	0.3335283402
197	0.3332171201
198	0.3330195075
199	0.3325414109
