iter	Logloss
0	0.5006197825
1	0.455589786
2	0.4331398556
3	0.4167370423
4	0.4080177945
5	0.4036319312
6	0.3988194814
7	0.3980807009
8	0.3944410376
9	0.3910865419
10	0.3909780127
11	0.3876063155
12	0.3864296424
13	0.3858641617
14	0.3851383642
15	0.3851314907
16	0.3844082365
17	0.3809372593
18	0.3809372521
19	0.3778108666
20	0.377071165
21	0.3767096999
22	0.3743682508
23	0.3709415006
24	0.3706079753
25	0.3691176698
26	0.3659083958
27	0.3614017713
28	0.3583062474
29	0.3568857934
30	0.3549361468
31	0.3501742241
32	0.3458036791
33	0.3438422569
34	0.3432356354
35	0.3419389827
36	0.3415214604
37	0.3388917566
38	0.3385488783
39	0.3364397041
40	0.3340124562
41	0.3340123944
42	0.3338116069
43	0.3326309551
44	0.3290789458
45	0.3283637939
46	0.3283049162
47	0.3271727437
48	0.3254476644
49	0.3224426191
50	0.3203585913
51	0.3182900105
52	0.3161235679
53	0.3143788085
54	0.3127737575
55	0.3123807876
56	0.312357608
57	0.3121712052
58	0.3100404267
59	0.3065086636
60	0.3054361326
61	0.3025602342
62	0.3010823992
63	0.300345057
64	0.2981558697
65	0.2959259089
66	0.2939764349
67	0.2923651865
68	0.2904997034
69	0.2891786594
70	0.2889532454
71	0.2882631182
72	0.2865784411
73	0.2855188268
74	0.2854659896
75	0.2832945781
76	0.2806616671
77	0.2776694809
78	0.2754009618
79	0.2751983272
80	0.2742549833
81	0.2730656428
82	0.2712051295
83	0.2695953195
84	0.268068875
85	0.2660415084
86	0.2659685452
87	0.263283449
88	0.2621859494
89	0.2611423277
90	0.2592726334
91	0.2571993878
92	0.2553473338
93	0.2534553203
94	0.252470355
95	0.2506889844
96	0.2502980734
97	0.2495461629
98	0.248377486
99	0.2476262121
